1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.859148,-0.636679,-1.357445,-0.772294,-0.317519,-0.884311,-0.68701,-1.263428,-0.577675,-0.949312,-0.00448,-0.74958,-1.049167,-0.072867,0.059611,-0.791744,-0.190233,0.802847,0.179473
-0.578515,-0.360222,-1.029238,-0.430793,-0.006134,-0.523669,-0.415631,-1.006455,-0.280395,-0.6483,0.463175,-0.458302,-0.658121,0.405573,0.504816,-0.448831,0.104772,1.16274,0.668226
-0.232166,-0.021967,-0.59809,-0.086724,0.357831,-0.127933,-0.037823,-0.697653,0.038581,-0.253007,0.958408,-0.177653,-0.208951,0.796018,0.9504,-0.023233,0.345857,1.558093,1.170968
0.117266,0.323504,-0.123801,0.232734,0.6726,0.232022,0.395294,-0.375118,0.339668,0.154197,1.381963,0.031726,0.207373,1.083085,1.295993,0.413511,0.568665,1.946991,1.590737
0.434074,0.605105,0.337986,0.530635,0.884585,0.524671,0.785481,-0.03757,0.613888,0.473167,1.698337,0.187369,0.540412,1.2907,1.511377,0.813705,0.720006,2.24619,1.887456
0.722433,0.801789,0.73865,0.822219,1.011429,0.740403,1.080995,0.314462,0.865082,0.699895,1.925121,0.355514,0.792649,1.451547,1.632053,1.137535,0.714985,2.381051,2.073282
0.985455,0.961126,1.042513,1.119292,1.101202,0.877892,1.294257,0.643097,1.089467,0.897974,2.094031,0.571641,0.987692,1.599424,1.719569,1.36909,0.516466,2.396154,2.184798
1.20552,1.155025,1.251846,1.424286,1.200137,0.957329,1.476689,0.920001,1.276951,1.119686,2.239602,0.82955,1.168627,1.755688,1.820879,1.548604,0.147276,2.410893,2.295794
1.365527,1.40391,1.404008,1.730701,1.344554,1.011528,1.671767,1.149486,1.429341,1.374118,2.416017,1.12096,1.358097,1.92597,1.961654,1.728739,-0.270629,2.497447,2.468531
1.469857,1.660978,1.535552,2.027853,1.550339,1.096354,1.899551,1.356809,1.579009,1.645333,2.653242,1.443305,1.556593,2.11326,2.163231,1.949028,-0.466279,2.649662,2.705421
1.547051,1.885475,1.676143,2.296392,1.794153,1.268204,2.147127,1.570484,1.769596,1.908367,2.918041,1.769784,1.770807,2.308264,2.426385,2.220034,-0.191328,2.827778,2.961301
1.639094,2.094323,1.840037,2.507619,2.016631,1.51252,2.368687,1.786504,2.006682,2.128295,3.141099,2.046243,1.988804,2.48603,2.696622,2.503269,0.465608,2.993143,3.16021
1.765406,2.31025,2.008001,2.642253,2.158179,1.749886,2.519548,1.969116,2.244052,2.279101,3.26306,2.230199,2.155437,2.619756,2.902182,2.73467,1.112546,3.116939,3.246269
1.904341,2.505722,2.142729,2.7105,2.19307,1.912005,2.582711,2.08601,2.425479,2.348768,3.274324,2.320468,2.224911,2.685231,3.006928,2.867471,1.44713,3.189016,3.230494
2.021289,2.622736,2.201261,2.743052,2.132956,1.98149,2.556099,2.121691,2.516201,2.343167,3.20177,2.349177,2.186536,2.670579,3.024025,2.910409,1.479928,3.19221,3.166136
2.092927,2.628245,2.165606,2.74918,2.003958,1.966696,2.444076,2.070266,2.513539,2.280782,3.07325,2.336027,2.057303,2.575124,2.99695,2.891562,1.357292,3.113745,3.094199
2.111766,2.557827,2.058705,2.71139,1.826144,1.881363,2.268987,1.946071,2.428152,2.166904,2.902137,2.265544,1.872015,2.406152,2.937367,2.8222,1.17889,2.964115,3.01478
2.082124,2.464473,1.911108,2.614072,1.609612,1.737453,2.071232,1.777994,2.262446,2.010432,2.695359,2.114388,1.671532,2.185979,2.811901,2.698691,0.980754,2.76378,2.897789
2.00082,2.352773,1.753472,2.464794,1.358072,1.547068,1.893376,1.598599,2.028346,1.826513,2.458822,1.888261,1.477911,1.948351,2.599449,2.510565,0.777241,2.528088,2.720632
1.861482,2.200237,1.593154,2.285152,1.082893,1.325399,1.752913,1.434056,1.776266,1.619361,2.205494,1.632995,1.293038,1.728802,2.321497,2.270962,0.585529,2.293272,2.506047
1.669648,2.009428,1.409029,2.096053,0.807396,1.08342,1.632606,1.292494,1.557186,1.397882,1.958741,1.403044,1.116369,1.544616,2.008042,2.016415,0.420623,2.107033,2.301295
1.450815,1.813524,1.19198,1.910101,0.554783,0.829971,1.510347,1.161197,1.376065,1.182219,1.730454,1.225571,0.958505,1.381144,1.670537,1.764022,0.281967,1.972178,2.12547
1.234083,1.633729,0.967561,1.723837,0.339004,0.585551,1.371701,1.014612,1.205491,0.97723,1.507056,1.095258,0.808628,1.212244,1.316202,1.512522,0.151603,1.852717,1.952273
1.029491,1.453125,0.762456,1.52872,0.156208,0.355647,1.203163,0.831348,1.011723,0.778617,1.258214,0.98373,0.625983,1.017491,0.960599,1.266273,0.003004,1.717757,1.743199
0.833923,1.254228,0.561157,1.31735,-0.014386,0.121013,1.00836,0.606157,0.785257,0.578098,0.96489,0.863677,0.389971,0.791979,0.621119,1.028624,-0.18569,1.542549,1.478268
0.638213,1.03721,0.355106,1.087345,-0.194042,-0.130788,0.799188,0.346424,0.535911,0.347206,0.630356,0.715281,0.092831,0.546025,0.317165,0.784219,-0.420528,1.309586,1.154536
0.430983,0.79511,0.165942,0.843868,-0.390322,-0.386545,0.575074,0.06527,0.274674,0.081888,0.273483,0.524899,-0.251284,0.288705,0.048115,0.52492,-0.690316,1.019389,0.795258
0.209212,0.527884,-0.019882,0.596797,-0.592795,-0.633757,0.333308,-0.221579,0.01471,-0.190152,-0.083964,0.303066,-0.603347,0.026133,-0.197703,0.266528,-0.971993,0.696766,0.437802
