0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
39.136890000,43.327274000,42.698311000,41.620098000,41.929394000,40.321320000,38.034046000,41.341812000,40.343262000,39.880302000,42.114658000,45.054810000,43.292103000,41.173092000,41.237270000,41.730106000,40.526981000,40.909897000,42.740849000,44.435749000,42.329487000,41.165558000,43.485546000,42.227970000
38.275784000,42.933586000,41.901810000,40.857738000,41.359589000,39.514042000,37.326630000,40.210529000,39.111988000,39.166153000,41.384811000,44.604462000,42.695187000,40.781963000,40.936382000,41.412373000,40.203384000,40.098022000,42.010799000,43.518147000,41.231670000,40.912811000,43.397858000,42.096470000
37.529465000,42.233017000,40.823471000,39.931789000,40.569061000,38.588997000,36.416988000,39.064209000,37.862553000,38.257011000,40.321926000,43.815830000,41.755623000,40.113148000,40.349392000,40.760006000,39.635281000,39.012794000,41.038528000,42.317310000,39.832386000,40.381180000,42.930099000,41.568638000
36.892754000,41.348995000,39.631325000,38.966736000,39.674282000,37.670162000,35.405540000,37.994640000,36.723385000,37.250854000,39.050510000,42.808399000,40.608864000,39.246353000,39.523830000,39.842152000,38.854649000,37.809574000,39.988998000,40.993286000,38.306583000,39.653320000,42.116371000,40.682861000
36.352158000,40.405975000,38.485207000,38.076569000,38.793644000,36.859795000,34.416084000,37.056053000,35.779106000,36.255531000,37.722092000,41.717339000,39.408649000,38.296307000,38.556934000,38.772564000,37.941559000,36.656193000,39.023159000,39.685276000,36.801453000,38.847752000,41.066071000,39.580185000
35.891880000,39.499847000,37.492817000,37.345814000,38.021107000,36.223724000,33.557133000,36.259808000,35.061901000,35.357136000,36.464359000,40.645409000,38.284363000,37.358280000,37.544018000,37.662357000,36.983795000,35.678146000,38.258575000,38.507420000,35.431660000,38.085670000,39.908554000,38.429256000
35.483467000,38.699394000,36.701618000,36.817444000,37.414616000,35.786396000,32.899513000,35.583752000,34.549206000,34.611950000,35.362999000,39.661785000,37.335983000,36.499676000,36.560307000,36.597122000,36.057514000,34.944546000,37.759537000,37.554939000,34.291943000,37.484955000,38.765472000,37.378422000
35.070869000,38.045341000,36.111221000,36.482780000,36.986977000,35.523373000,32.472919000,34.988255000,34.173809000,34.047401000,34.463974000,38.815208000,36.633690000,35.765076000,35.660133000,35.636135000,35.221115000,34.476753000,37.533054000,36.884434000,33.442703000,37.144279000,37.744110000,36.533230000
34.571289000,37.534786000,35.681057000,36.279568000,36.698914000,35.359661000,32.270546000,34.429012000,33.846626000,33.658031000,33.774509000,38.132469000,36.200207000,35.175312000,34.875862000,34.814125000,34.507717000,34.250610000,37.518009000,36.483173000,32.881596000,37.104263000,36.929585000,35.946430000
33.899681000,37.109795000,35.332943000,36.105602000,36.463196000,35.185829000,32.249077000,33.860168000,33.480907000,33.397713000,33.258198000,37.605915000,35.989815000,34.728046000,34.214233000,34.134918000,33.915520000,34.187454000,37.583267000,36.257874000,32.533306000,37.308857000,36.365711000,35.614052000
33.001740000,36.670620000,34.961979000,35.844410000,36.165558000,34.887516000,32.325905000,33.232292000,33.005768000,33.181404000,32.836170000,37.185471000,35.891285000,34.397949000,33.652390000,33.565388000,33.408512000,34.156685000,37.555870000,36.058952000,32.268330000,37.606590000,36.032379000,35.472023000
31.869879000,36.107952000,34.458374000,35.391830000,35.694992000,34.371407000,32.383224000,32.491978000,32.368031000,32.902859000,32.402843000,36.784290000,35.761108000,34.128174000,33.132511000,33.041550000,32.927769000,34.002644000,37.272854000,35.731483000,31.941614000,37.804653000,35.839031000,35.400509000
30.533144000,35.334316000,33.731693000,34.673870000,34.969227000,33.577171000,32.287148000,31.590258000,31.529924000,32.460876000,31.848860000,36.299633000,35.467579000,33.825218000,32.568356000,32.483459000,32.402714000,33.584179000,36.628685000,35.159435000,31.428041000,37.737904000,35.650105000,35.249569000
29.033741000,34.300583000,32.728004000,33.653118000,33.945751000,32.476746000,31.916260000,30.496286000,30.468868000,31.780548000,31.082754000,35.639561000,34.919891000,33.377121000,31.867849000,31.812233000,31.757633000,32.805695000,35.590828000,34.279175000,30.639730000,37.310463000,35.328915000,34.881489000
27.413082000,32.993977000,31.435333000,32.326591000,32.622154000,31.068323000,31.188774000,29.205236000,29.181063000,30.822247000,30.047394000,34.741756000,34.073036000,32.687275000,30.960835000,30.964676000,30.921671000,31.629850000,34.186825000,33.071732000,29.530294000,36.492786000,34.770817000,34.204834000
25.714130000,31.427509000,29.880295000,30.718948000,31.031040000,29.370373000,30.076141000,27.735785000,27.684248000,29.577877000,28.727238000,33.578697000,32.922047000,31.699083000,29.814032000,29.903028000,29.846178000,30.074287000,32.479637000,31.554867000,28.095697000,35.298073000,33.912617000,33.186909000
23.984659000,29.631546000,28.118710000,28.874283000,29.230301000,27.422514000,28.600651000,26.123411000,26.016613000,28.062916000,27.145193000,32.155209000,31.496540000,30.400318000,28.429832000,28.619757000,28.519358000,28.198879000,30.545923000,29.780777000,26.371206000,33.764641000,32.729282000,31.846798000
22.270584000,27.651838000,26.224293000,26.851192000,27.289043000,25.291262000,26.822624000,24.415579000,24.230658000,26.314369000,25.352739000,30.503685000,29.855518000,28.817383000,26.838346000,27.138237000,26.967176000,26.091591000,28.462570000,27.826403000,24.419731000,31.953737000,31.231339000,30.237066000
