1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
1.417950000,6.851874000,6.316406000,5.266439000,10.923540000,12.318578000,6.672413000,5.910942000,8.347803000,4.770146000,2.282297000,1.122725000,4.822998000,8.220142000,0.622033000,-1.710361000,8.903378000,14.888687000,4.111858000,5.503651000,2.882787000,13.631354000,16.521923000
-0.132572000,5.986852000,5.442498000,4.890519000,9.584377000,11.820489000,4.814556000,4.438402000,7.248926000,3.326454000,1.174390000,-0.433802000,4.014306000,7.118501000,0.568082000,-2.304582000,7.067020000,13.774432000,3.041038000,4.534034000,1.522713000,13.121107000,15.828373000
-1.863680000,4.533333000,4.666440000,4.121832000,7.806814000,10.694340000,2.792787000,2.691143000,5.895769000,1.887821000,0.070437000,-1.803668000,3.211343000,5.788615000,0.500569000,-3.093561000,5.067728000,12.215125000,1.923273000,3.191967000,0.085673000,12.208319000,14.666096000
-3.699039000,2.521617000,4.218318000,3.335915000,5.696199000,8.993084000,0.721491000,0.706890000,4.159004000,0.384552000,-1.281510000,-2.954082000,2.241751000,4.331471000,0.070484000,-4.048501000,3.081879000,10.143193000,0.638214000,1.574491000,-1.363467000,10.739134000,13.036439000
-5.504327000,0.200925000,3.706295000,2.997498000,3.467638000,7.030519000,-1.147415000,-1.258716000,2.166855000,-1.099012000,-3.126324000,-3.971860000,1.070159000,2.928269000,-0.926703000,-5.012215000,1.353418000,7.636596000,-0.632539000,0.023336000,-2.570355000,8.825678000,11.220851000
-7.164639000,-2.116523000,2.745671000,2.741736000,1.321523000,5.196807000,-2.541907000,-2.859417000,0.203058000,-2.386986000,-5.422354000,-4.960195000,-0.164364000,1.747401000,-2.535758000,-5.813659000,0.073866000,5.008808000,-1.583132000,-1.163652000,-3.345095000,6.779215000,9.525052000
-8.638391000,-4.187813000,1.317567000,1.955790000,-0.672740000,3.737278000,-3.345055000,-3.877695000,-1.525798000,-3.409300000,-7.778197000,-5.948712000,-1.272404000,0.784443000,-4.542959000,-6.356408000,-0.821072000,2.635893000,-2.069016000,-1.908825000,-3.687651000,4.881923000,7.974174000
-9.922869000,-5.863616000,-0.448978000,0.502072000,-2.564312000,2.623143000,-3.694628000,-4.375405000,-3.020217000,-4.298497000,-9.666186000,-6.875194000,-2.178591000,-0.170419000,-6.477516000,-6.637603000,-1.667762000,0.674169000,-2.187149000,-2.318258000,-3.723564000,3.225838000,6.377162000
-10.993963000,-7.066393000,-2.379233000,-1.487880000,-4.403526000,1.599243000,-3.922234000,-4.659697000,-4.413589000,-5.277555000,-10.717999000,-7.629788000,-2.972118000,-1.354324000,-7.886548000,-6.715842000,-2.794859000,-0.987895000,-2.142497000,-2.538896000,-3.591862000,1.786575000,4.680413000
-11.809419000,-7.797451000,-4.284750000,-3.718896000,-6.149559000,0.386875000,-4.369034000,-5.095906000,-5.798465000,-6.464178000,-10.912533000,-8.118906000,-3.804462000,-2.825391000,-8.608581000,-6.668293000,-4.232804000,-2.517753000,-2.093304000,-2.659023000,-3.384079000,0.585603000,3.090820000
-12.351368000,-8.142370000,-5.925192000,-5.815755000,-7.688309000,-1.107185000,-5.203749000,-5.903235000,-7.128257000,-7.779570000,-10.553657000,-8.310468000,-4.750355000,-4.422502000,-8.746866000,-6.556853000,-5.719481000,-3.932390000,-2.096201000,-2.704269000,-3.128505000,-0.285574000,1.839177000
-12.641365000,-8.229060000,-7.117987000,-7.527781000,-8.915417000,-2.733824000,-6.356156000,-7.059829000,-8.251409000,-9.017421000,-10.044314000,-8.241782000,-5.750866000,-5.897106000,-8.447887000,-6.405620000,-6.951393000,-5.088947000,-2.132624000,-2.673006000,-2.802555000,-0.781987000,0.964565000
-12.720605000,-8.162063000,-7.829437000,-8.741880000,-9.794575000,-4.221899000,-7.591924000,-8.349237000,-9.023224000,-9.987849000,-9.640966000,-7.995782000,-6.660954000,-7.061830000,-7.760553000,-6.198466000,-7.795117000,-5.831952000,-2.156280000,-2.558141000,-2.371504000,-0.981629000,0.359564000
-12.636245000,-7.993928000,-8.159153000,-9.457911000,-10.350993000,-5.356606000,-8.659489000,-9.498816000,-9.396580000,-10.615072000,-9.389878000,-7.659388000,-7.339002000,-7.844297000,-6.693431000,-5.905562000,-8.289534000,-6.126512000,-2.128984000,-2.353255000,-1.828827000,-1.025004000,-0.069795000
-12.438350000,-7.741620000,-8.236946000,-9.779619000,-10.636168000,-6.080863000,-9.407026000,-10.318909000,-9.433128000,-10.938437000,-9.230278000,-7.285277000,-7.711752000,-8.263099000,-5.356875000,-5.522280000,-8.529726000,-6.073169000,-2.034985000,-2.069233000,-1.211137000,-1.010611000,-0.342320000
-12.171180000,-7.415463000,-8.157279000,-9.824360000,-10.701859000,-6.477824000,-9.815858000,-10.765650000,-9.245996000,-11.051565000,-9.102183000,-6.880398000,-7.790264000,-8.388188000,-4.006898000,-5.085409000,-8.595279000,-5.830584000,-1.880696000,-1.755971000,-0.593806000,-0.965941000,-0.461232000
-11.861418000,-7.032693000,-7.994425000,-9.669700000,-10.589561000,-6.684779000,-9.962065000,-10.912799000,-8.928545000,-11.037820000,-8.973142000,-6.431909000,-7.647307000,-8.308004000,-2.914218000,-4.655643000,-8.543014000,-5.524835000,-1.684957000,-1.492204000,-0.072790000,-0.895556000,-0.457892000
