0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40.277447000,38.820778000,40.014435000,40.444138000,42.134148000,38.186073000,40.872459000,39.606846000,41.790611000,41.779354000,41.710453000,41.432964000,41.132645000,39.313965000,39.313438000,38.454571000,43.872875000,41.488403000,40.269733000,38.314495000,37.820591000,41.814865000,40.178329000
39.963245000,38.115814000,39.667439000,39.821850000,41.700779000,37.532364000,40.376476000,39.227863000,41.436768000,41.214359000,41.393780000,41.060238000,40.601357000,39.117287000,39.208847000,38.302013000,43.596844000,41.260372000,40.246773000,38.351780000,37.930882000,41.250431000,39.705128000
39.558384000,37.313969000,39.349312000,39.136765000,41.152359000,36.768978000,39.816093000,38.721889000,40.904461000,40.429363000,41.308994000,40.923687000,39.910599000,38.764366000,38.928219000,37.950230000,43.157425000,40.855759000,39.980270000,38.129581000,37.754646000,40.536919000,39.077194000
39.164333000,36.556004000,39.144608000,38.522537000,40.662319000,36.067741000,39.310703000,38.218552000,40.320881000,39.609421000,41.366051000,40.933323000,39.202606000,38.391998000,38.422699000,37.376606000,42.722157000,40.467171000,39.395027000,37.617825000,37.266209000,39.834641000,38.472332000
38.867725000,35.964939000,39.062847000,38.073334000,40.364670000,35.572655000,38.952724000,37.848495000,39.829670000,38.951954000,41.407139000,40.923729000,38.628933000,38.138988000,37.728054000,36.612888000,42.448322000,40.278965000,38.515705000,36.859909000,36.523766000,39.300671000,38.031887000
38.697395000,35.597649000,39.033970000,37.808475000,40.291595000,35.336643000,38.765060000,37.689034000,39.529503000,38.572529000,41.275330000,40.741814000,38.293938000,38.065361000,36.892597000,35.700806000,42.396530000,40.361965000,37.444134000,35.911499000,35.597797000,39.015968000,37.791443000
38.606285000,35.413372000,38.945305000,37.665981000,40.356632000,35.292358000,38.684986000,37.718601000,39.419464000,38.436195000,40.877464000,40.311054000,38.201752000,38.106705000,35.933060000,34.664864000,42.487724000,40.622524000,36.280788000,34.802116000,34.525047000,38.937153000,37.663925000
38.495335000,35.292042000,38.696537000,37.532417000,40.403164000,35.280552000,38.591904000,37.817142000,39.394058000,38.374298000,40.211369000,39.634285000,38.243332000,38.104328000,34.837112000,33.511795000,42.549191000,40.853954000,35.052391000,33.532562000,33.305473000,38.918819000,37.494545000
38.263306000,35.097126000,38.236935000,37.294838000,40.285652000,35.129524000,38.364674000,37.824654000,39.296658000,38.185535000,39.338406000,38.750820000,38.243080000,37.895027000,33.581127000,32.238930000,42.423862000,40.859322000,33.714798000,32.092438000,31.921537000,38.804165000,37.150143000
37.846165000,34.731331000,37.565392000,36.883125000,39.929695000,34.733982000,37.928928000,37.619976000,38.997910000,37.747620000,38.326767000,37.694210000,38.042942000,37.394386000,32.146023000,30.841927000,42.054123000,40.545891000,32.216812000,30.481192000,30.359982000,38.508980000,36.573544000
37.225430000,34.148521000,36.703884000,36.280045000,39.336399000,34.079952000,37.268139000,37.163334000,38.445095000,37.057220000,37.215435000,36.476971000,37.570503000,36.616863000,30.530903000,29.321819000,41.477642000,39.927963000,30.550543000,28.722786000,28.631628000,38.032665000,35.775761000
36.411564000,33.334270000,35.670082000,35.502102000,38.547279000,33.211842000,36.405910000,36.482052000,37.656574000,36.186062000,36.012417000,35.096920000,36.846340000,35.636093000,28.759106000,27.691435000,40.758324000,39.068516000,28.751806000,26.868744000,26.783308000,37.408619000,34.797554000
35.419827000,32.287102000,34.466339000,34.571693000,37.605717000,32.183895000,35.380394000,35.628456000,36.678314000,35.206627000,34.708763000,33.549850000,35.938568000,34.529758000,26.872898000,25.978992000,39.925903000,38.026558000,26.879089000,24.984602000,24.888905000,36.655094000,33.679626000
34.255138000,31.016342000,33.086853000,33.499084000,36.537300000,31.033838000,34.226673000,34.647095000,35.542095000,34.146774000,33.293304000,31.841566000,34.907902000,33.343945000,24.927322000,24.227633000,38.965096000,36.834370000,25.004986000,23.127392000,23.022068000,35.762127000,32.447136000
32.914883000,29.549555000,31.533758000,32.281139000,35.346863000,29.777855000,32.968895000,33.564140000,34.252151000,32.988720000,31.763002000,29.997053000,33.780727000,32.085445000,22.990459000,22.487263000,37.837296000,35.494976000,23.209713000,21.328865000,21.234436000,34.702972000,31.103247000
31.403078000,27.933544000,29.829885000,30.911036000,34.024551000,28.416115000,31.619795000,32.389091000,32.798218000,31.694275000,30.129580000,28.062000000,32.553288000,30.734449000,21.140774000,20.799231000,36.506256000,33.990784000,21.553171000,19.595379000,19.556108000,33.452560000,29.636505000
29.743317000,26.225101000,28.020481000,29.390541000,32.557384000,26.943361000,30.183548000,31.120258000,31.177622000,30.234201000,28.423456000,26.094545000,31.211702000,29.268574000,19.444721000,19.185009000,34.959373000,32.306702000,20.042263000,17.923435000,17.999521000,32.002346000,28.043034000
27.978516000,24.479942000,26.164631000,27.736628000,30.943890000,25.364683000,28.661629000,29.753410000,29.409761000,28.609753000,26.687305000,24.150578000,29.750042000,27.683748000,17.921619000,17.646059000,33.220215000,30.454195000,18.634298000,16.314634000,16.547699000,30.368134000,26.345573000
26.158636000,22.749317000,24.321093000,25.981812000,29.204260000,23.706064000,27.060749000,28.292004000,27.536148000,26.859634000,24.956923000,22.270943000,28.181042000,26.001369000,16.535782000,16.169781000,31.343485000,28.479139000,17.275984000,14.775603000,15.149117000,28.583630000,24.588678000
