V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,X100,X101
0.04678,0.0436,0.03195,0.01258,-0.01369,-0.0473,-0.08924,-0.1393,-0.19527,-0.25361,-0.31055,-0.36256,-0.40672,-0.4411,-0.46509,-0.47925,-0.4852,-0.48533,-0.48216,-0.47747,-0.47217,-0.46668,-0.46123,-0.45584,-0.45016,-0.44349,-0.4351,-0.42467,-0.41242,-0.39893,-0.38474,-0.37037,-0.35628,-0.34303,-0.33115,-0.32095,-0.31269,-0.3067,-0.30339,-0.30304,-0.30551,-0.31005,-0.31548,-0.32063,-0.32481,-0.32793,-0.33023,-0.33202,-0.33344,-0.33456,-0.33551,-0.33661,-0.33834,-0.34117,-0.34537,-0.35064,-0.35607,-0.36051,-0.3632,-0.36412,-0.36394,-0.36361,-0.36398,-0.36561,-0.36873,-0.3735,-0.38002,-0.38822,-0.39762,-0.40735,-0.4164,-0.42387,-0.42924,-0.43246,-0.43392,-0.43423,-0.43387,-0.43287,-0.43082,-0.42705,-0.42087,-0.4117,-0.39909,-0.38272,-0.36233,-0.3378,-0.3092,-0.27701,-0.24221,-0.20625,-0.17081,-0.13754,-0.10779,-0.08244,-0.06187,-0.0458,-0.03349,-0.0239,-0.01608,-0.00939,-0.00361
0.05777,0.0351,0.00272,-0.02848,-0.04919,-0.05742,-0.05848,-0.06051,-0.06988,-0.08972,-0.12049,-0.16013,-0.20363,-0.24353,-0.27266,-0.28782,-0.2917,-0.29113,-0.29287,-0.2998,-0.30993,-0.31826,-0.32006,-0.31346,-0.30024,-0.28447,-0.27035,-0.2602,-0.25408,-0.25046,-0.24737,-0.24313,-0.23658,-0.22713,-0.21474,-0.19983,-0.18321,-0.16605,-0.14974,-0.13552,-0.12425,-0.11627,-0.11131,-0.10865,-0.10745,-0.10701,-0.10692,-0.10703,-0.10727,-0.10757,-0.10792,-0.10852,-0.10986,-0.1127,-0.11781,-0.12565,-0.13605,-0.14831,-0.16152,-0.17492,-0.18811,-0.20107,-0.21401,-0.2272,-0.24083,-0.25499,-0.26946,-0.28373,-0.29716,-0.30939,-0.32038,-0.33019,-0.33865,-0.3454,-0.34995,-0.35186,-0.35085,-0.34706,-0.34108,-0.33369,-0.32556,-0.31709,-0.30845,-0.2995,-0.2896,-0.27788,-0.26367,-0.24688,-0.22797,-0.2077,-0.18678,-0.1656,-0.14397,-0.1211,-0.09605,-0.06861,-0.03994,-0.01262,0.01022,0.02619,0.03453
0.00211,-0.02052,-0.05059,-0.08645,-0.12592,-0.16718,-0.20942,-0.25306,-0.29911,-0.34831,-0.40036,-0.45385,-0.50677,-0.55701,-0.60272,-0.64228,-0.67428,-0.69782,-0.71268,-0.71947,-0.71948,-0.71426,-0.70533,-0.69392,-0.68091,-0.66686,-0.65211,-0.63676,-0.62087,-0.60456,-0.58795,-0.57098,-0.55325,-0.53416,-0.51334,-0.49091,-0.46748,-0.44402,-0.42151,-0.40081,-0.38246,-0.36671,-0.35347,-0.34249,-0.33344,-0.32608,-0.32025,-0.31587,-0.31297,-0.31161,-0.31183,-0.31354,-0.31654,-0.3206,-0.32556,-0.33129,-0.33765,-0.34452,-0.35186,-0.35972,-0.36813,-0.37714,-0.38677,-0.397,-0.40764,-0.4183,-0.42836,-0.43715,-0.44423,-0.44954,-0.45332,-0.45598,-0.4579,-0.45928,-0.4601,-0.46016,-0.45917,-0.45687,-0.45305,-0.44748,-0.43986,-0.42976,-0.41681,-0.40068,-0.38108,-0.35772,-0.3304,-0.2992,-0.2646,-0.22755,-0.1894,-0.15178,-0.11635,-0.08465,-0.05786,-0.03669,-0.02133,-0.01149,-0.00656,-0.00572,-0.00803
0.01547,0.00262,-0.01164,-0.02496,-0.03631,-0.04815,-0.06616,-0.09582,-0.1385,-0.19037,-0.24436,-0.29322,-0.33196,-0.35884,-0.3752,-0.38429,-0.38953,-0.39304,-0.39517,-0.39521,-0.39263,-0.38804,-0.38314,-0.37993,-0.37974,-0.38264,-0.3874,-0.39192,-0.394,-0.39203,-0.38523,-0.37368,-0.35798,-0.33902,-0.31787,-0.29565,-0.27346,-0.25234,-0.2331,-0.21621,-0.20179,-0.18964,-0.17944,-0.17087,-0.16368,-0.15773,-0.15295,-0.14926,-0.1465,-0.1444,-0.14259,-0.14074,-0.13866,-0.13644,-0.13452,-0.13359,-0.13422,-0.13649,-0.13978,-0.14297,-0.14495,-0.14509,-0.14349,-0.1409,-0.13837,-0.1369,-0.1372,-0.13953,-0.14375,-0.14939,-0.15606,-0.16363,-0.17219,-0.18174,-0.192,-0.20238,-0.21227,-0.22112,-0.22853,-0.2342,-0.2379,-0.23945,-0.23869,-0.23555,-0.22995,-0.22185,-0.21112,-0.19759,-0.18124,-0.16253,-0.14249,-0.12251,-0.1038,-0.08696,-0.07183,-0.05772,-0.04394,-0.03039,-0.01781,-0.00747,-5.70E-04
-0.02752,-0.06655,-0.10387,-0.13617,-0.16211,-0.18276,-0.20115,-0.22152,-0.2482,-0.28409,-0.32939,-0.38131,-0.43498,-0.48512,-0.52761,-0.5603,-0.58317,-0.59795,-0.60724,-0.61364,-0.61886,-0.62343,-0.6267,-0.62735,-0.624,-0.61571,-0.6022,-0.58393,-0.56187,-0.53724,-0.51122,-0.48474,-0.45853,-0.43313,-0.40891,-0.38605,-0.36471,-0.34503,-0.3271,-0.31089,-0.29624,-0.283,-0.27108,-0.26047,-0.2512,-0.24341,-0.23731,-0.23302,-0.23042,-0.22911,-0.22857,-0.22847,-0.22881,-0.22993,-0.23242,-0.23676,-0.24319,-0.2516,-0.26169,-0.27329,-0.2864,-0.30114,-0.31756,-0.33554,-0.35479,-0.37495,-0.3956,-0.41636,-0.43696,-0.45727,-0.4773,-0.49699,-0.51617,-0.53442,-0.55122,-0.56604,-0.57837,-0.58778,-0.59393,-0.59642,-0.59473,-0.58816,-0.57581,-0.55685,-0.53065,-0.49698,-0.45604,-0.40857,-0.35576,-0.2993,-0.24126,-0.18396,-0.12967,-0.08035,-0.03744,-0.00173,0.02658,0.04792,0.06321,0.07374,0.08075
-0.04543,-0.07104,-0.10633,-0.14812,-0.1917,-0.23237,-0.26755,-0.29775,-0.32603,-0.35635,-0.39167,-0.43215,-0.47451,-0.51286,-0.54105,-0.55521,-0.55511,-0.54383,-0.52617,-0.50677,-0.48889,-0.474,-0.46221,-0.45296,-0.44551,-0.43924,-0.43359,-0.42807,-0.42213,-0.41531,-0.40731,-0.3982,-0.38834,-0.37829,-0.36857,-0.35954,-0.35136,-0.344,-0.33737,-0.33145,-0.32644,-0.32266,-0.32045,-0.32003,-0.32142,-0.32434,-0.32825,-0.33238,-0.33604,-0.33882,-0.34069,-0.34196,-0.34316,-0.34489,-0.34763,-0.35167,-0.35718,-0.36423,-0.37287,-0.38311,-0.3949,-0.40805,-0.42222,-0.43699,-0.45188,-0.46653,-0.48065,-0.494,-0.50648,-0.51809,-0.52902,-0.53951,-0.54979,-0.55985,-0.56936,-0.57775,-0.58423,-0.58801,-0.58831,-0.58436,-0.5754,-0.56072,-0.53986,-0.51265,-0.47929,-0.4402,-0.396,-0.34746,-0.2956,-0.24175,-0.18757,-0.13496,-0.08589,-0.0423,-0.00583,0.02226,0.04126,0.05111,0.05261,0.04751,0.03854
0.04238,0.03315,0.01885,-5.00E-04,-0.02542,-0.05721,-0.09718,-0.14552,-0.20084,-0.26055,-0.32178,-0.38198,-0.439,-0.49055,-0.5338,-0.56565,-0.58383,-0.58783,-0.57917,-0.56099,-0.53717,-0.51166,-0.48777,-0.46774,-0.45252,-0.44181,-0.4344,-0.42861,-0.42275,-0.41542,-0.40571,-0.39327,-0.37811,-0.3605,-0.34081,-0.3195,-0.29717,-0.27457,-0.25253,-0.23187,-0.21321,-0.19686,-0.18283,-0.17088,-0.16068,-0.15194,-0.14445,-0.13813,-0.13297,-0.12896,-0.12605,-0.1241,-0.12296,-0.12261,-0.12314,-0.12474,-0.12752,-0.13158,-0.13701,-0.14389,-0.15211,-0.16128,-0.17081,-0.18011,-0.1888,-0.19685,-0.20449,-0.2121,-0.22011,-0.22885,-0.23847,-0.24897,-0.26021,-0.27198,-0.28405,-0.29617,-0.30808,-0.31947,-0.32992,-0.33885,-0.34558,-0.34934,-0.34948,-0.34547,-0.337,-0.324,-0.30654,-0.28476,-0.25877,-0.22873,-0.195,-0.15837,-0.12013,-0.08199,-0.04593,-0.01386,0.0126,0.0324,0.04514,0.05113,0.05143
0.02641,0.02004,0.00766,-0.01139,-0.03733,-0.07003,-0.10876,-0.15224,-0.19898,-0.24757,-0.2968,-0.34548,-0.39231,-0.43576,-0.47419,-0.50612,-0.53053,-0.54707,-0.55606,-0.55831,-0.555,-0.54748,-0.5371,-0.52502,-0.51213,-0.49896,-0.48572,-0.47239,-0.45884,-0.44485,-0.43018,-0.41459,-0.39789,-0.37998,-0.36087,-0.34069,-0.31966,-0.29805,-0.2762,-0.25447,-0.23327,-0.213,-0.19399,-0.17647,-0.16054,-0.14623,-0.13354,-0.12249,-0.11314,-0.10551,-0.09958,-0.09525,-0.09238,-0.09082,-0.09057,-0.0917,-0.09433,-0.09852,-0.10417,-0.11101,-0.11875,-0.12709,-0.13587,-0.14508,-0.15485,-0.16543,-0.17707,-0.18995,-0.20415,-0.21961,-0.23615,-0.25345,-0.27112,-0.28867,-0.30558,-0.32133,-0.33553,-0.34788,-0.35817,-0.3662,-0.37166,-0.37417,-0.37324,-0.36834,-0.35894,-0.34464,-0.3252,-0.30067,-0.27138,-0.23802,-0.20162,-0.16364,-0.12587,-0.09022,-0.05832,-0.0311,-0.0086,0.00984,0.02519,0.03826,0.04944
0.04047,0.02774,0.01087,-0.0088,-0.02988,-0.05139,-0.07292,-0.09459,-0.11677,-0.13992,-0.16433,-0.18991,-0.21596,-0.24117,-0.26374,-0.28188,-0.29422,-0.30033,-0.3009,-0.29777,-0.29355,-0.29095,-0.29211,-0.29804,-0.30841,-0.32189,-0.33657,-0.35051,-0.362,-0.36976,-0.3729,-0.37095,-0.36385,-0.35189,-0.33567,-0.31603,-0.29392,-0.27035,-0.24632,-0.2227,-0.20024,-0.17954,-0.16105,-0.1451,-0.13191,-0.12163,-0.11433,-0.10998,-0.1084,-0.10927,-0.11208,-0.11623,-0.12114,-0.12637,-0.13157,-0.1365,-0.14095,-0.14467,-0.14744,-0.14907,-0.14949,-0.14878,-0.14722,-0.14523,-0.14333,-0.14197,-0.1415,-0.14213,-0.144,-0.14715,-0.15155,-0.15714,-0.16378,-0.17132,-0.1796,-0.18848,-0.19784,-0.20751,-0.21723,-0.22664,-0.23527,-0.24258,-0.24803,-0.25113,-0.25144,-0.24857,-0.2422,-0.23207,-0.21802,-0.20004,-0.17843,-0.15386,-0.12747,-0.10074,-0.07536,-0.05288,-0.03449,-0.02068,-0.01125,-0.00538,-0.00177
-0.03999,-0.06161,-0.08601,-0.11246,-0.14134,-0.17437,-0.214,-0.26214,-0.31922,-0.38373,-0.45257,-0.52175,-0.58722,-0.64542,-0.69359,-0.72986,-0.75318,-0.76336,-0.76098,-0.74731,-0.72417,-0.69377,-0.65864,-0.62151,-0.58511,-0.55189,-0.52371,-0.50158,-0.48559,-0.475,-0.46842,-0.46408,-0.46006,-0.45456,-0.44612,-0.4338,-0.41725,-0.39669,-0.37292,-0.34714,-0.32075,-0.29519,-0.27172,-0.25127,-0.23436,-0.22116,-0.21149,-0.20495,-0.20103,-0.19924,-0.19917,-0.20053,-0.20319,-0.20709,-0.2123,-0.21894,-0.22712,-0.2369,-0.2483,-0.26128,-0.27579,-0.29176,-0.30911,-0.32771,-0.34737,-0.36788,-0.38891,-0.41005,-0.4308,-0.45061,-0.46901,-0.48563,-0.50018,-0.51247,-0.52238,-0.52987,-0.53495,-0.53771,-0.53825,-0.5366,-0.53272,-0.52641,-0.51736,-0.50509,-0.48907,-0.46873,-0.44367,-0.41374,-0.37929,-0.34118,-0.30074,-0.2596,-0.21944,-0.18173,-0.14744,-0.11691,-0.08991,-0.0659,-0.0443,-0.02469,-0.00697
