0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6.857529000,7.722084000,6.899065000,7.710285000,9.705304000,9.409136000,7.428136000,7.361581000,10.290376000,6.705775000,9.288263000,7.568686000,8.120006000,8.618388000,7.930889000,8.272868000,9.032332000,9.054798000,10.792263000,8.923306000,7.160769000,9.679038000,7.135558000
7.073584000,7.833797000,7.208445000,8.206554000,9.432856000,9.576626000,7.789975000,8.126124000,10.947789000,7.203691000,10.011813000,7.904641000,8.596097000,8.617652000,8.440636000,8.829255000,9.273295000,9.312183000,11.003650000,9.308183000,7.669402000,9.619219000,7.082225000
7.506917000,8.443976000,7.981892000,9.081112000,9.698262000,10.405794000,8.550617000,9.389832000,11.839740000,8.116775000,11.270903000,8.460979000,9.302343000,8.803301000,9.463512000,9.629512000,9.625964000,9.810569000,11.499540000,9.926890000,8.518497000,9.804844000,7.364662000
8.214217000,9.477453000,9.116047000,10.040063000,10.577226000,11.815992000,9.766225000,10.791306000,12.785081000,9.328678000,12.718450000,9.257875000,10.091372000,9.219616000,10.734546000,10.545746000,10.078768000,10.499689000,12.197345000,10.589293000,9.523435000,10.308069000,7.909234000
9.034829000,10.573300000,10.234912000,10.828149000,11.858447000,13.457047000,11.213495000,12.013350000,13.679763000,10.536520000,13.988918000,10.198220000,10.833706000,9.804502000,11.968177000,11.475634000,10.649361000,11.266466000,12.959019000,11.093465000,10.495813000,10.880923000,8.425801000
9.794003000,11.476563000,11.125417000,11.492258000,13.182130000,14.954773000,12.570623000,12.980069000,14.524166000,11.583493000,14.996420000,11.162332000,11.486016000,10.481350000,13.089520000,12.372747000,11.345942000,12.024918000,13.748071000,11.398078000,11.367620000,11.341786000,8.990266000
10.556165000,12.257996000,11.956841000,12.179849000,14.304173000,16.150072000,13.712989000,13.790606000,15.341501000,12.523345000,15.874252000,12.052454000,12.076860000,11.236669000,14.175434000,13.211469000,12.133903000,12.779570000,14.596433000,11.589797000,12.169528000,11.797231000,9.942796000
11.436002000,13.054792000,12.926239000,12.931209000,15.209020000,17.088768000,14.707227000,14.496584000,16.110209000,13.396734000,16.670916000,12.807142000,12.631871000,12.046331000,15.241115000,13.956110000,12.932938000,13.549309000,15.487166000,11.764156000,12.917476000,12.383201000,11.304028000
12.365865000,13.837481000,13.952568000,13.700347000,16.016302000,17.825939000,15.620089000,15.051029000,16.770300000,14.129232000,17.301407000,13.407486000,13.121351000,12.825388000,16.148266000,14.574654000,13.651672000,14.269939000,16.317493000,11.956669000,13.574930000,13.049256000,12.673181000
13.209046000,14.500822000,14.852871000,14.416512000,16.767588000,18.329342000,16.420794000,15.455410000,17.264141000,14.644547000,17.722813000,13.871855000,13.479554000,13.492249000,16.762173000,15.045589000,14.219239000,14.833785000,16.971685000,12.157002000,14.101302000,13.604630000,13.706277000
13.902641000,15.040002000,15.568250000,15.013030000,17.394285000,18.577412000,17.048414000,15.761944000,17.564011000,14.940571000,17.961554000,14.230348000,13.652955000,14.015987000,17.078938000,15.352017000,14.600504000,15.187223000,17.408243000,12.349669000,14.470463000,13.964478000,14.418270000
14.470696000,15.468632000,16.077906000,15.426297000,17.832859000,18.607096000,17.454191000,15.982875000,17.668274000,15.033767000,18.016495000,14.488995000,13.632328000,14.376544000,17.135811000,15.489093000,14.804347000,15.343970000,17.630819000,12.512714000,14.665625000,14.150134000,14.911107000
14.938491000,15.748929000,16.342752000,15.630567000,18.060966000,18.458111000,17.625164000,16.082718000,17.606054000,14.941868000,17.899611000,14.624112000,13.456535000,14.544504000,16.997746000,15.469701000,14.864582000,15.334248000,17.657616000,12.605943000,14.706442000,14.144514000,15.194575000
15.247202000,15.866289000,16.378332000,15.643079000,18.085623000,18.170633000,17.621904000,16.038683000,17.446119000,14.729320000,17.696087000,14.617431000,13.190298000,14.530681000,16.788328000,15.325260000,14.830496000,15.182638000,17.534962000,12.595591000,14.660541000,13.965513000,15.287165000
15.318070000,15.866379000,16.255730000,15.512760000,17.952961000,17.814901000,17.555141000,15.880346000,17.255461000,14.477863000,17.500505000,14.473671000,12.886029000,14.397121000,16.614231000,15.090259000,14.751406000,14.923615000,17.335344000,12.490963000,14.593280000,13.701420000,15.256172000
15.217720000,15.808760000,16.054663000,15.287829000,17.738501000,17.461004000,17.489040000,15.651418000,17.056160000,14.219242000,17.345310000,14.217052000,12.558046000,14.206372000,16.485888000,14.785072000,14.659849000,14.600526000,17.122580000,12.342132000,14.525949000,13.419604000,15.173801000
15.090677000,15.722211000,15.853508000,15.005290000,17.504944000,17.136314000,17.410143000,15.357845000,16.839188000,13.945080000,17.207380000,13.894368000,12.198033000,13.986905000,16.346794000,14.415138000,14.565463000,14.242711000,16.924177000,12.204468000,14.447726000,13.121038000,15.064160000
15.005307000,15.606386000,15.680086000,14.700151000,17.276787000,16.826838000,17.282478000,14.982882000,16.592688000,13.652224000,17.053442000,13.568132000,11.799420000,13.742986000,16.150164000,13.991579000,14.456618000,13.860973000,16.734161000,12.108733000,14.345583000,12.790693000,14.917345000
14.949865000,15.458114000,15.518903000,14.388628000,17.052570000,16.503550000,17.086620000,14.535333000,16.317352000,13.352311000,16.864302000,13.276085000,11.366108000,13.479758000,15.889869000,13.540194000,14.308026000,13.457971000,16.532978000,12.044886000,14.214705000,12.433320000,14.730720000
